sign_number,sign_text
1,天門一掛榜，預定奪標人，馬嘶芳草地，秋高聽鹿鳴。
2,地有神，甚威靈，興邦輔國，尊主庇民。
3,長安花不可及，春風中馬蹄疾，急早加鞭，驟然生色。
4,春花嬌媚，不禁雨打風飄；秋菊幽芳，反耐霜凌雪傲。
5,春雷震，夏風巽，臥龍起，猛虎驚，風雲會合，救濟蒼生。
6,非玄非奥，非淺非深，一個妙道，着意搜尋。
7,君須悟，勿誤疑，有平路，任驅馳，隨時變易，件件咸宜。
8,虎戀高山别有機，衆人目下尚狐疑，雁來嘹嚦黃花發，此際聲名達帝畿。
9,貴客相逢更可期，庭前枯木鳳來儀，好將短事求長事，休聽旁人説是非。
10,嘹嚦征鴻獨出羣，高飛羽翼更糾紛，雲程北進好音遂聞，朝雲暮雨交加有憑。
11,無踪又無跡，遠近均難覓，平地起風波，似笑還成泣。
12,神黯黯，意悠悠，收却線，莫下鈎。
13,得意宜逢婦，前程去有緣，利名終有望，三五月團圆。
14,鼎沸起風波，孤舟要渡河，巧中藏却拙，人事轉蹉跎。
15,意在閒中信未來，故人千里自徘徊，天邊雁足傳消息，一點梅花春色回。
16,心和同，事知同，門外好施功，交加事有終。
17,欲行還止，徘徊不已，藏玉懷珠，寸心千里。
18,心戚戚，口啾啾，一番思慮一番憂，説了休時又不休。
19,不遠不近，似易似難，等閑一事，雲中笑看。
20,桃李謝春風，西飛又復東，家中無意緒，船在浪濤中。
21,一水遠一水，一山旋一山，水窮山盡處，名利不為難。
22,事相扶，在半途，翻覆終可免，風波一點無。
23,喜喜喜，春風生桃李，不用強憂煎，明月人千里。
24,意孜孜，心戚戚，要平安，防出入。
25,見不見，也防人背面；遇不遇，到底無憑據。
26,一番桃李一番春，誰識當初氣象新。林下水邊尋活計，見山了了稱心意。
27,莫怪我見錯，心性自成疴，偏僻不通心，真人却不魔。
28,禄馬交馳，男兒得志時，行程早辦，榮歸樂期頤。
29,了却心頭事，三生夙有緣，香開十里桂，移步入天邊。
30,緣黃閣白了頭，畢竟成何濟，不如趁此精神，猶好買些真氣。
31,離别間，雖不易，同伴行，猶不滞，早早起程，免他失意。
32,樂之極矣憂將至，巽兌分明吉與凶，未能光大終幽暗，日落西山返照中。
33,歷過波濤三五重，誰知浪靜又無風，須教明達青雲路，用舍行藏不費功。
34,缺月又重圓，枯枝色更鮮，一條夷坦路，翹首望青天。
35,行路難行路難，今日方知行路難，前程廣大何足慮，瓊力今朝度此灘。
36,春景明，春色新，春意傍水生，春天無限好，好去宴瓊林。
37,萬馬歸元，千猿朝洞，虎伏龍降，道高德重。
38,黃鸝報上林，春色鮮明，提鞭快着，馬上速行程。
39,大肆放靈丹，救人行萬千，到頭登彼岸，渡過入仙班。
40,一帶水，碧澄澄，舟住江上，月到天心；穩步其中，玄妙不閒，非人誤己，幾喪生身。
41,桃李舒姘，春光鮮麗，良辰美景君須記，隨心所往事事相宜，無用多疑幹凟神祗。
42,隱中顯，顯中微，個中有玄機，參得透了，直上仙梯。
43,無上去，在前頭，回頭一悟，繩韁好收，千條萬線路常在，自好搜求。
44,四顧無門路，桃源路可通，修煉成正果，萬歲壽如松。
45,不用忙，不用慌，自有駐足鄉，鳴鼓響鐘地，三寶見門牆。
46,奔波一世，總是虚浮，無常一到萬事休，急早回頭。
47,真真真，人不識，真真真，神有靈，歸宗返本，方是元精。
48,走盡天涯，風霜歷遍，不如問人三天，漸漸有回首見。
49,沉沉疴染，不見天心，雷門一震，體健身輕。
50,財馬兩匆忙，官禄有定方，猪羊牛犬，自去主張。
51,空空空，空裏得成功，蟠桃千載熟，不怕五更風。
52,愁臉放，笑顏開，秋月掛高臺，人從千里來。
53,須着力，莫遠遊，長竿釣向蟾蜍窟，直欲雲中得巨鰲。
54,無蹤無跡，遠近難覓，旱海行舟，空勞費力。
55,細雨濛濛濕，江邊路不通，道途音信遠，憑仗借東風。
56,平地起雲煙，時下未能安，高處覓姻緣。
57,正直宜守，妄動生災，利通名達，葉落花開。
58,君子升，小人阻，征戰生離苦，前有吉人逢，信在馬牛人在楚，事要營求妥。
59,紛紛復紛紛，欷歔獨掩門，歛眉望燈火，伴我坐黃昏。
60,紅顏美，休掛懷，人在車中，舟行水裏。
61,橋已斷，路不通，登舟理楫，又遇狂風。
62,深潭月，照鏡影，一場空，安報信。
63,湖海意悠悠，烟波下釣鈎，若逢龍與兎，名利一齊周。
64,物不牢，人斷橋，重整理，慢心高。
65,入而易，出而難，懨懨到再三，交加意不堪。
66,事遲志速，而且反覆，直待歲寒，花殘果熟。
67,乘馬前進，所求吉貞，隨時諧美，缺月重明。
68,舟離古渡月離雲，人出潼關好問津，且向前行去求住，何須疑慮兩三心。
69,不足不足，難伸心曲，野塘雨過月如鈎，夢斷邯鄲眉黛愁。
70,美有堪，堪有美，始有終，終有始。
71,湖海悠悠，孤舟浪頭，來人未渡，殘照山樓。
72,深戶要牢扃，提防暗裏人，莫言無外事，縱好定遭迍。
73,江海悠悠，烟波下鈎，六鰲連獲，歌笑中流。
74,欲濟未濟，欲求强求，心無一定，一車兩頭。
75,一得一慮，退後欲先，路通大道，心自安然。
76,難難難，忽然平地起波瀾，易易易，談笑尋常終有望。
77,心有餘，力不足，倚仗春風，一歌一曲。
78,身不安，心不安，動静兩三番，終朝事必嘆。
79,事了物未了，人圓物未圓，要知端的信，日影上琅玕。
80,木向陽春發，三陰又伏根，樵夫不知道，砍去作柴薪。
81,一月缺，一鏡缺，不團圓，無可説。
82,車馬到臨，旌旗隱隱月分明，招安討叛，永大前程。
83,我何宿，我何宿，海東河北成名錄，一段神光，直冲天瀆。
84,金鱗入手，得還防走，若論周旋，謹言緘口。
85,傾一盃，展愁眉，天地合，好思為。
86,野鬼張弧射主人，暗中一箭鬼魂驚，忽然紅日沉江海，難破空中事不明。
87,福星照，吉宿臨，青天有日見天真，龍飛下載到明庭。
88,獨釣寒潭，中途興闌，水寒魚不餌，空載月明還。
89,不歸一，勞心力，貴人旁，宜借力。
90,雲盡月當中，光輝到處通，路途逢水順，千里快如風。
91,劍戟列山林，盗賊必來侵，敗走擒搜定，封侯蔭子孫。
92,岸濶水深舟易落，路遥山險步難行，蛇行自有通津日，月上天空分外明。
93,擬欲遷而未可遷，提防喜處惹勾連，前途若得陰人引，變化魚龍出大淵。
94,一人去，一人入，清風明月兩相猜，獲得金麟下釣臺。
95,喜未穩，悲已遭，大雨狂風吹古木，人人盡道不堅牢。
96,可以寄百里之命，可以托六尺之孤，鍾期旣遇毋遲誤。笑呼呼，他鄉聚首，各自樂康。
97,報道上林，春色鮮明，提鞭快着，馬上行程。
98,鼠入土穴，最可安身，日中不見，静夜巡行。
99,打起平生志，西南好去游，腰纏十萬貫，騎鶴上揚州。
100,喜喜喜，終防否，獲得驪龍頷下珠，忽然失却，還在水裡。
101,國有賢士，廷無佞臣，干戈不用，常享太平。
102,泰來否已極，諸事莫憂心，但須堷養元福，做些好事，行些方便，一點丹靈獨得真。
103,民樂業，官吏清，雍熙之世復見於今，告諸人千秋鴻業，仗此望明君。
104,安如泰山，穩如磐石，放膽前行，中通外直。
105,月中有丹桂，人終攀不着，雲梯足下生，此際好落脚。
106,天間一孤雁，嘹嚦歎離羣，試問知君者，而今有幾人。
107,紅葉無顏色，凋零一夜風，鄰鷄醒午夢，心事總成空。
108,事如麻，理多錯，日掩雲中，空成耽擱。
109,勿上舊轍，甘駕新車，東西南北，穩步康衢。
110,夜夢被鼠驚，醒來不見人，終宵廢寢，直到天明。
111,秋霜肅，夏日炎，新花鮮了舊花淹，世情看冷暖，逢者不須言。
112,未展英雄志，馳驅不憚勞，敢將休咎卜，西北奪前標。
113,疴染沉沉，終日昏昏，雷門一震，體健身輕。
114,易非易，難非難，忽地起波瀾，歡笑兩三番。
115,路不通，門閉塞，謹慎提防，雲藏月黑。
116,蝸角蠅頭利，而今已變通，草頭人笑汝，宜始不宜終。
117,珠玉走盤中，田園定阜豐，休言謀未遂，此去便亨通。
118,月已明，花再發，事悠悠，無不合。
119,朦朧秋月映朱門，林外鳥聲遠寺僧，自有貴人來接引，何須巧語似流鶯。
120,事未寬，心不安，疑慮久，始安然。
121,虚名虛位久沉沉，禄馬當求未見真，一片彩雲秋後至，去年風物一時新。
122,止止止，有終有始，似月如花，守成而已。
123,明月全圓，顏色欣然，風雲相送，和合萬年。
124,寶鏡親照兩人，心中結，合同心。
125,居下不親上，人心易散離，事機終失一，凡百盡成灰。
126,兀兀塵埃久待時，幽窗寂靜有誰知，若逢青紫人相引，財利功名自可期。
127,虎伏在路途，行人莫亂呼，路旁須仔細，災禍自然無。
128,和不和，同不同，翻雲覆雨几成空，進退須防終少功。
129,東邊事，西邊成，風物月華明，高樓弄笛聲。
130,事團圓，物周旋，一來一往，平步青天。
131,淺水起風波，平地生荆棘，言語慮參商，猶恐無端的。
132,秋月雲開後，薰風雨過時，若逢楚國舊知己，等閒一薦不須疑。
133,心已定，事何憂，金鱗已上鈎，功名一網收。
134,意迷己不迷，事寬心不寬，要知端的信，猶隔兩重山。
135,笑中生不足，內外見愁哭，雲散月光輝，轉禍當成福。
136,檐前鵲噪正翩翩，憂慮全消喜自然，一人進了一人退，下梢還有好姻緣。
137,荆棘生平地，風波起四方，倚欄惆悵望，無語對斜陽。
138,謀已定，事何憂，照月上重樓，雲中客點頭。
139,奇奇奇，地利與天時，燈花傳信後，動靜總相宜。
140,遇不遇，逢不逢，月沈海底，人在夢中。
141,暗中防霹靂，猜慮渾無實，轉眼黑雲收，擁出扶桑日。
142,利在中邦出戰征，一番獲醜在王庭，鳳啣丹詔歸陽畔，得享佳名四海榮。
143,堪歎外邊憂，更嗟門裡鬧，意緒更牽缠，心神亦顛倒。
144,一重水一重山，風波道坦然，壺中别有天。
145,遇險不須憂，風波何足忌，若遇草頭人，咫尺青雲路。
146,船棹中流急，花開春又逢，事寧心不静，惹起許多疑。
147,可蓄可儲，片玉寸珠，停停穩穩，前遇良圖。
148,小子早趨庭，青雲久問程，貴人來助力，花謝子還成。
149,一心兩事，一事兩心，新花枯樹，直待交春。
150,大事恐難圖；殘花不再鮮。
151,莫道事無訛，其中進退多，桂輪圆又缺，光彩更揩磨。
152,莫嘆事遲留，休言不到頭，長竿終入手，一釣上金鈎。
153,事稱應有忌，未為恐先躓，欲往且遲遲，還須借勢力。
154,足不安，輿不安，兩兩事相得，憂來却又歡。
155,鼎折足，車脱輻，有貴人，重整續。
156,參詳言語，波濤揚沸，事久無傷，時間不利。
157,貴客自相親，功名唾手成，獲金須積德，仰望太陽升。
158,平地起波瀾，所求事日難，笑談終有忌，同心事覺歡。
159,狂風吹起墨雲飛，月在天心遮不得，閒時無事暫相關，到底依然無尅剝。
160,人倚樓，許多愁，澹然進步，事始無憂。
161,一點着陽春，枯枝朶朶新，志專方遇合，切忌二三心。
162,道路迢遥，門庭閉塞，霧擁去兮，雲開見日。
