sign_number,category,simp_match,trad_match,xlsx_text,csv_text,xlsx_simp_no_punct,csv_simp_no_punct,diff_detail,punct_segments,punct_count
1,完全一致,True,True,天门一挂榜，预定夺标人，马嘶芳草地，秋高听鹿鸣。,天門一掛榜預定奪標人馬嘶芳草地秋高聽鹿鳴,天门一挂榜预定夺标人马嘶芳草地秋高听鹿鸣,天门一挂榜预定夺标人马嘶芳草地秋高听鹿鸣,,"[5, 5, 5, 5]",4
2,完全一致,True,True,地有神，甚威灵，兴邦辅国，尊主庇民。,地有神甚威靈興邦輔國尊主庇民,地有神甚威灵兴邦辅国尊主庇民,地有神甚威灵兴邦辅国尊主庇民,,"[3, 3, 4, 4]",4
3,完全一致,True,True,长安花不可及，春风中马蹄疾，急早加鞭，骤然生色。,長安花不可及春風中馬蹄疾急早加鞭驟然生色,长安花不可及春风中马蹄疾急早加鞭骤然生色,长安花不可及春风中马蹄疾急早加鞭骤然生色,,"[6, 6, 4, 4]",4
4,真正差异,False,False,春花娇媚，不禁雨打风飘，秋菊幽芳，反耐霜凌雪傲。,春花嬌媚不禁雨打風飄秋菊幽芳及耐霜凌雪傲,春花娇媚不禁雨打风飘秋菊幽芳反耐霜凌雪傲,春花娇媚不禁雨打风飘秋菊幽芳及耐霜凌雪傲,pos14: xlsx=反(菊幽芳反耐霜凌) csv=及(菊幽芳及耐霜凌),"[4, 6, 4, 6]",4
5,完全一致,True,True,春雷震，夏风巽，卧龙起，猛虎惊，风云会合，救济苍生。,春雷震夏風巽臥龍起猛虎驚風雲會合救濟蒼生,春雷震夏风巽卧龙起猛虎惊风云会合救济苍生,春雷震夏风巽卧龙起猛虎惊风云会合救济苍生,,"[3, 3, 3, 3, 4, 4]",6
6,仅异体字,True,False,非玄非奥，非浅非深，一个妙道，着意搜寻。,非玄非奥非淺非深一個妙道着意搜尋,非玄非奥非浅非深一个妙道着意搜寻,非玄非奥非浅非深一个妙道着意搜寻,,"[4, 4, 4, 4]",4
7,完全一致,True,True,君须悟，勿误疑，有平路，任驱驰，随时变易，件件咸宜。,君須悟勿誤疑有平路任驅馳隨時變易件件咸宜,君须悟勿误疑有平路任驱驰随时变易件件咸宜,君须悟勿误疑有平路任驱驰随时变易件件咸宜,,"[3, 3, 3, 3, 4, 4]",6
8,仅异体字,True,False,虎恋高山别有机，众人目下尚狐疑，雁来嘹呖黄花发，此际声名达帝畿。,虎戀高山别有機衆人目下尚狐疑雁來嘹嚦黃花發此際聲名達帝畿,虎恋高山别有机众人目下尚狐疑雁来嘹呖黄花发此际声名达帝畿,虎恋高山别有机众人目下尚狐疑雁来嘹呖黄花发此际声名达帝畿,,"[7, 7, 7, 7]",4
9,仅异体字,True,False,贵客相逢更可期，庭前枯木凤来仪，好将短事求长事，休听旁人说是非。,貴客相逢更可期庭前枯木鳳來儀好將短事求長事休聽旁人説是非,贵客相逢更可期庭前枯木凤来仪好将短事求长事休听旁人说是非,贵客相逢更可期庭前枯木凤来仪好将短事求长事休听旁人说是非,,"[7, 7, 7, 7]",4
10,仅异体字,True,False,嘹呖征鸿独出群，高飞羽翼更纠纷，云程北进好音遂闻，朝云暮雨交加有凭。,嘹嚦征鴻獨出羣高飛羽翼更糾紛雲程北進好音遂聞朝雲暮雨交加有憑,嘹呖征鸿独出群高飞羽翼更纠纷云程北进好音遂闻朝云暮雨交加有凭,嘹呖征鸿独出群高飞羽翼更纠纷云程北进好音遂闻朝云暮雨交加有凭,,"[7, 7, 8, 8]",4
11,仅异体字,True,False,无踪又无迹，远近均难觅，平地起风波，似笑还成泣。,無踪又無跡遠近均難覓平地起風波似笑還成泣,无踪又无迹远近均难觅平地起风波似笑还成泣,无踪又无迹远近均难觅平地起风波似笑还成泣,,"[5, 5, 5, 5]",4
12,仅异体字,True,False,神黯黯，意悠悠，收却线，莫下钩。,神黯黯意悠悠收却線莫下鈎,神黯黯意悠悠收却线莫下钩,神黯黯意悠悠收却线莫下钩,,"[3, 3, 3, 3]",4
13,仅异体字,True,False,得意宜逢妇，前程去有缘，利名终有望，三五月团圆。,得意宜逢婦前程去有緣利名終有望三五月團圆,得意宜逢妇前程去有缘利名终有望三五月团圆,得意宜逢妇前程去有缘利名终有望三五月团圆,,"[5, 5, 5, 5]",4
14,真正差异,False,False,鼎沸起风波，孤舟要渡河，巧中却藏拙，人事转蹉跎。,鼎沸起風波孤舟要渡河巧中藏却拙人事轉嗟跎,鼎沸起风波孤舟要渡河巧中却藏拙人事转蹉跎,鼎沸起风波孤舟要渡河巧中藏却拙人事转嗟跎,pos12: xlsx=却(河巧中却藏拙人) csv=藏(河巧中藏却拙人); pos13: xlsx=藏(巧中却藏拙人事) csv=却(巧中藏却拙人事); pos18: xlsx=蹉(人事转蹉跎) csv=嗟(人事转嗟跎),"[5, 5, 5, 5]",4
